frame_index,time_seconds,x1,y1,x2,y2,confidence,pitch_deg,yaw_deg,roll_deg
67,2.236,1574.407,120.251,1609.205,154.717,0.3951,5.738,5.054,-3.89
68,2.269,1573.216,119.149,1608.46,154.205,0.598,18.969,1.294,-12.694
69,2.302,0.0,330.211,74.632,549.452,0.5321,-11.769,-30.621,7.6
70,2.336,0.0,327.728,96.8,538.133,0.5604,-32.075,-120.324,28.182
71,2.369,0.0,329.034,118.532,526.664,0.8464,-27.626,-129.754,18.915
72,2.402,0.0,325.524,141.756,527.33,0.8902,-36.605,-144.084,21.562
72,2.402,1571.152,116.0,1607.433,151.648,0.5945,-7.301,-62.796,23.355
73,2.436,0.0,328.744,162.216,524.523,0.8757,-27.244,-143.342,17.341
73,2.436,1570.888,115.968,1607.028,151.514,0.7731,2.196,74.156,21.268
74,2.469,0.0,335.198,178.906,518.287,0.8286,-7.585,131.451,-0.837
74,2.469,1570.663,116.411,1606.607,151.874,0.7705,5.471,142.202,15.463
75,2.502,21.897,339.419,201.421,516.223,0.8141,-16.78,-156.896,14.303
75,2.502,1570.191,116.958,1606.329,152.651,0.7054,8.636,100.124,11.146
76,2.536,46.325,343.435,218.892,512.124,0.7604,-23.052,-148.861,12.174
76,2.536,1570.008,118.322,1605.543,153.112,0.56,11.668,-39.985,-8.052
77,2.569,68.385,343.969,242.284,515.952,0.7167,-26.791,-154.135,4.16
77,2.569,1569.583,119.344,1605.579,154.69,0.6489,16.752,-14.115,-15.63
78,2.603,92.725,344.858,264.592,514.357,0.7937,-29.47,-148.961,11.515
78,2.603,1569.139,120.164,1605.23,155.471,0.7056,12.219,-35.633,-13.57
79,2.636,114.792,341.296,289.989,512.177,0.8127,-28.501,-144.568,12.263
79,2.636,1569.365,120.747,1605.081,155.748,0.7499,16.381,-18.753,-18.313
80,2.669,138.375,339.069,311.428,510.758,0.8766,-33.592,-155.859,9.706
80,2.669,1569.386,121.119,1605.205,156.094,0.7685,17.424,-20.293,-19.034
81,2.703,159.927,338.26,329.673,505.346,0.8448,-27.07,-163.168,5.089
81,2.703,1569.401,120.801,1604.955,155.556,0.8049,16.112,-19.459,-15.391
82,2.736,177.964,332.871,343.018,496.568,0.8241,-28.976,-157.669,5.656
82,2.736,1569.172,120.449,1604.675,155.124,0.8237,14.387,-13.952,-13.605
83,2.769,191.564,331.739,351.374,490.267,0.8411,-33.324,-157.059,5.839
83,2.769,1568.622,120.042,1604.814,155.324,0.8083,12.268,27.106,-4.137
84,2.803,198.93,329.288,360.422,488.003,0.869,-39.085,-151.683,8.842
84,2.803,1568.174,119.713,1604.705,155.329,0.8057,13.522,5.075,-7.773
85,2.836,214.673,326.979,382.093,491.721,0.8436,-32.469,-160.01,6.897
85,2.836,1567.777,118.256,1604.601,154.235,0.8397,17.055,43.803,-0.69
